Document,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,sponsor_termination,renovations,nontrigger,sff,sum
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,17,1,2,0,0,0,0,0,0,0,0,0,0,43,0,63.0
20150307_028S2X_Prospectus_SD000000002389024187.pdf,15,0,4,10,0,0,0,0,0,0,0,0,0,27,0,56.0
20160310_02AQCW_Prospectus_SD0000000-2003264558.pdf,7,0,0,6,5,3,2,2,0,0,0,0,0,0,0,25.0
20160510_02B0XU_Prospectus_SD000000002312723382.pdf,11,0,3,5,0,0,3,0,4,15,0,0,0,76,0,117.0
20170525_02DFUI_Prospectus_SD000000002352389122.pdf,12,0,7,6,0,0,4,0,4,0,0,0,0,29,0,62.0
20170525_02DG4Z_Prospectus_SD000000002352418696.pdf,18,0,0,8,7,0,0,0,0,0,2,0,0,33,0,68.0
20170616_02DNAM_Prospectus_SD000000002355931744.pdf,12,1,1,7,0,0,7,0,0,0,0,0,0,56,0,84.0
20170727_02DTVX_Prospectus_SD000000002362015714.pdf,19,0,0,8,2,0,0,0,0,0,0,0,0,40,0,69.0
20170801_02DX5C_Prospectus_SD000000002363000910.pdf,5,0,0,16,6,0,0,0,0,0,0,0,0,37,0,64.0
20170814_02E227_Prospectus_SD000000002367167139.pdf,21,0,0,4,4,2,0,0,0,0,0,0,0,46,0,77.0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,9,0,0,10,8,5,3,0,0,0,0,0,0,14,0,49.0
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,14,0,0,7,7,0,3,0,0,0,3,0,0,37,0,71.0
20181231_02IEP9_Prospectus_SD000000002568455603.pdf,27,0,0,28,7,0,0,0,0,0,3,0,0,111,0,176.0
20190108_02IFF1_Prospectus_SD000000002570458466.pdf,20,0,0,17,9,2,4,0,0,0,2,0,0,55,0,109.0
20190131_02IFCW_Prospectus_SD000000002578232050.pdf,14,0,0,24,13,0,4,9,0,0,0,0,0,50,0,114.0
20190131_02IFDN_Prospectus_SD000000002578234912.pdf,14,0,0,26,13,0,4,9,0,0,0,0,0,46,0,112.0
20190131_02IFE7_Prospectus_SD000000002578234792.pdf,14,0,0,27,13,0,4,9,0,0,0,0,0,44,0,111.0
20190205_02IJ77_Prospectus_SD000000002579874729.pdf,14,0,0,14,0,6,2,0,0,0,0,14,0,49,0,99.0
20190208_02IM7M_Prospectus_SD000000002581684036.pdf,18,0,0,19,8,0,3,6,0,0,0,0,0,55,0,109.0
20190220_02IPLU_Prospectus_SD000000002587491183.pdf,19,0,0,19,9,0,0,0,0,0,8,0,9,69,0,133.0
20190220_02IUQ7_Prospectus_SD000000002587520085.pdf,17,0,0,16,9,0,0,0,0,0,8,0,7,73,0,130.0
20190220_02IUQG_Prospectus_SD000000002587491537.pdf,15,0,0,17,9,0,0,0,0,0,6,0,8,40,0,95.0
20190226_02IT2C_Prospectus_SD000000002590903580.pdf,12,3,1,13,0,0,1,0,0,0,4,0,0,0,0,34.0
20190305_02IZYJ_Prospectus_SD000000002595913797.pdf,12,0,0,8,6,0,5,0,0,0,4,0,0,0,0,35.0
20190306_02IR5Z_Prospectus_SD000000002596647733.pdf,21,0,0,7,8,0,3,2,0,2,0,0,0,0,9,52.0
20190306_02IUM5_Prospectus_SD000000002596681999.pdf,12,0,0,12,2,0,5,0,0,0,0,0,0,0,0,31.0
20190306_02IWDZ_Prospectus_SD000000002596682677.pdf,11,0,0,12,2,0,4,0,0,0,0,0,0,0,0,29.0
