,count,train_score,test_score,prediction,actual,nontrigger,loan_default,unspecified,debt_yield_fall,mezzanine_default,tenant_failure,bankruptcy,aggregate_debt_yield_fall,dscr_fall,renovations,operator_termination,sponsor_termination,mezzanine_outstanding,aggregate_dscr_fall,sff
nontrigger,1056,0.992296918767507,0.9738988580750407,0.0,7.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loan_default,459,0.9908963585434174,0.9787928221859706,0.0,6.0,0,6,0,2,2,2,0,0,0,0,0,0,0,0,0
unspecified,356,0.9985994397759104,0.9592169657422512,0.0,14.0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
debt_yield_fall,204,1.0,0.9666666666666667,0.0,3.0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,2
mezzanine_default,105,0.9931972789115647,0.9180327868852458,0.0,4.0,0,4,0,3,4,0,0,1,0,0,0,0,0,0,1
tenant_failure,37,1.0,0.9090909090909091,0.0,1.0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1
bankruptcy,77,0.9985994397759104,0.9902120717781403,0.0,5.0,0,5,0,4,0,0,5,0,0,1,0,0,0,1,0
aggregate_debt_yield_fall,18,1.0,0.888888888888889,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
dscr_fall,25,1.0,0.8571428571428571,0.0,2.0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0
renovations,24,0.9696969696969697,0.7999999999999999,0.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
operator_termination,19,1.0,0.5,0.0,4.0,1,1,0,1,1,1,0,0,0,0,4,0,1,0,1
sponsor_termination,14,1.0,0.888888888888889,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mezzanine_outstanding,10,1.0,0.5,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
aggregate_dscr_fall,5,1.0,0.0,0.0,2.0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0
sff,9,1.0,0.0,0.0,3.0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,3
