,count,test_data_count,train_score,test_score,prediction,actual,nontrigger,loan_default,unspecified,debt_yield_fall,mezzanine_default,tenant_failure,bankruptcy,aggregate_debt_yield_fall,dscr_fall,renovations,operator_termination,sponsor_termination,mezzanine_outstanding,aggregate_dscr_fall,sff
nontrigger,1056,317,0.992296918767507,0.9738988580750407,9.0,0.0,0,4,1,0,0,0,0,0,0,2,1,0,0,0,1
loan_default,459,138,0.9908963585434174,0.9787928221859706,7.0,0.0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0
unspecified,356,107,0.9985994397759104,0.9592169657422512,11.0,0.0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,1
debt_yield_fall,204,61,1.0,0.9666666666666667,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mezzanine_default,105,32,0.9931972789115647,0.9180327868852458,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tenant_failure,37,11,1.0,0.9090909090909091,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bankruptcy,77,23,0.9985994397759104,0.9902120717781403,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
aggregate_debt_yield_fall,18,5,1.0,0.888888888888889,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dscr_fall,25,8,1.0,0.8571428571428571,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
renovations,24,7,0.9696969696969697,0.7999999999999999,2.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operator_termination,19,6,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sponsor_termination,14,4,1.0,0.888888888888889,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mezzanine_outstanding,10,3,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggregate_dscr_fall,5,2,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sff,9,3,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
